Date,Open,High,Low,Close,Volume
12/7/2011,13.9261,13.9621,13.8129,13.8961,305000048
12/8/2011,13.9803,14.125,13.9368,13.9521,376356580
12/9/2011,14.0303,14.0728,13.9653,14.0578,297143408
12/12/2011,13.9886,14.0678,13.9089,13.9943,301065820
12/13/2011,14.0357,14.1214,13.825,13.8861,339137092
12/14/2011,13.8107,13.835,13.4886,13.5782,407155068
12/15/2011,13.6903,13.705,13.5111,13.5336,256448756
12/16/2011,13.5843,13.7196,13.5561,13.6078,421578052
12/19/2011,13.6596,13.7446,13.5886,13.6503,235527916
12/20/2011,13.8486,14.1464,13.8307,14.1411,337403276
12/21/2011,14.1675,14.1893,14.0003,14.1587,262946944
12/22/2011,14.1786,14.2546,14.1464,14.2339,202356648
12/23/2011,14.2746,14.4139,14.2677,14.4046,269608124
12/27/2011,14.3964,14.6103,14.3936,14.5189,265234744
12/28/2011,14.5318,14.5803,14.3336,14.38,228857136
12/29/2011,14.4071,14.4875,14.3039,14.4686,216156380
12/30/2011,14.4111,14.51,14.4103,14.4643,179775044
1/3/2012,14.6214,14.7321,14.6071,14.6868,302259096
1/4/2012,14.6428,14.81,14.6171,14.7657,260244720
1/5/2012,14.8196,14.9482,14.7382,14.9296,271267432
1/6/2012,14.9918,15.0982,14.9721,15.0857,318385908
1/9/2012,15.1964,15.2768,15.0482,15.0618,394023616
1/10/2012,15.2111,15.2143,15.0536,15.1157,258327276
1/11/2012,15.0957,15.1018,14.9753,15.0911,215192476
1/12/2012,15.0814,15.1036,14.9553,15.0496,212723856
1/13/2012,14.9893,15.0161,14.9521,14.9932,226159164
1/17/2012,15.15,15.2139,15.1057,15.1678,242896404
1/18/2012,15.2486,15.3382,15.225,15.3253,276791336
1/19/2012,15.3625,15.406,15.2325,15.2768,261738016
1/20/2012,15.2675,15.2678,14.9911,15.0107,413969352
1/23/2012,15.0953,15.3018,15.0821,15.2646,306062060
1/24/2012,15.1821,15.1821,14.9839,15.0146,547637984
1/25/2012,16.23,16.2303,15.8475,15.9521,958264444
1/26/2012,16.0128,16.0282,15.8264,15.8796,324231140
1/27/2012,15.8693,16.0171,15.8489,15.9743,299886848
1/30/2012,15.9182,16.2107,15.9068,16.1789,379328640
1/31/2012,16.2711,16.3657,16.1811,16.3028,391912328
2/1/2012,16.3718,16.3925,16.2696,16.2925,270042544
2/2/2012,16.2821,16.3275,16.2136,16.2543,186794428
2/3/2012,16.3321,16.4286,16.27,16.4171,286868264
2/6/2012,16.3707,16.6064,16.3643,16.5703,249682604
2/7/2012,16.6161,16.7768,16.5922,16.7439,316221368
2/8/2012,16.8036,17.0282,16.775,17.0243,407877496
2/9/2012,17.17,17.7411,17.1628,17.6132,884215348
2/10/2012,17.5343,17.7721,17.4482,17.6221,631300724
2/13/2012,17.8403,17.9939,17.7532,17.95,517207108
2/14/2012,18.0236,18.1986,17.9286,18.195,461932532
2/15/2012,18.3664,18.7961,17.746,17.7739,1506113440
2/16/2012,17.5536,18.0318,17.3796,17.9361,944550704
2/17/2012,17.9682,18.1346,17.8678,17.9328,535789268
2/21/2012,18.1028,18.3875,18.0043,18.3875,605586396
2/22/2012,18.3243,18.4103,18.1811,18.3228,483295712
2/23/2012,18.3957,18.4939,18.1964,18.4425,568026040
2/24/2012,18.5596,18.675,18.5228,18.6575,415280004
2/27/2012,18.6182,18.875,18.4386,18.7771,547581984
2/28/2012,18.8557,19.1218,18.7803,19.1218,600386456
2/29/2012,19.3414,19.5575,19.1321,19.3728,952002296
3/1/2012,19.5775,19.5789,19.2418,19.4453,683253544
3/2/2012,19.4371,19.5286,19.3757,19.4707,431710784
3/5/2012,19.4793,19.5528,18.7857,19.0414,809121512
3/6/2012,18.7021,19.0603,18.4364,18.9378,810239272
3/7/2012,19.1714,19.2064,18.6893,18.9532,798519132
3/8/2012,19.0961,19.3925,19.0043,19.3568,516443268
3/9/2012,19.4361,19.5621,19.3968,19.4703,418899344
3/12/2012,19.6065,19.7143,19.5357,19.7143,407280536
3/13/2012,19.9121,20.2921,19.8482,20.2893,690851184
3/14/2012,20.6446,21.24,20.55,21.0564,1418840264
3/15/2012,21.4146,21.4289,20.6625,20.9128,1159672452
3/16/2012,20.8828,21.0428,20.6428,20.9132,825488312
3/19/2012,21.3703,21.4918,21.0375,21.4678,901236228
3/20/2012,21.4111,21.675,20.7857,21.6414,816668976
3/21/2012,21.5264,21.7732,21.4789,21.5178,644042308
3/22/2012,21.3493,21.5893,21.2689,21.405,624132272
3/23/2012,21.446,21.4928,21.2286,21.2875,430487744
3/26/2012,21.4211,21.6839,21.2593,21.6778,595737552
3/27/2012,21.6493,22.01,21.645,21.9457,607129308
3/28/2012,22.085,22.1946,21.7968,22.0578,655460044
3/29/2012,21.885,22.02,21.6868,21.7807,608238560
3/30/2012,21.7418,21.8057,21.355,21.4125,731038168
4/2/2012,21.4939,22.0989,21.4421,22.0939,598346260
4/3/2012,22.4036,22.5789,22.2325,22.4757,834554496
4/4/2012,22.2982,22.3521,22.0357,22.2968,572980924
4/5/2012,22.3921,22.6664,22.2643,22.6314,641275904
4/9/2012,22.3618,22.8514,22.3321,22.7225,597536724
4/10/2012,22.8546,23,22.3571,22.4443,889690808
4/11/2012,22.7214,22.7453,22.2622,22.3643,696612024
4/12/2012,22.3214,22.5475,22.1607,22.2418,614329124
4/13/2012,22.2896,22.3107,21.5539,21.6153,859645208
4/16/2012,21.7878,21.7957,20.6518,20.7189,1050785048
4/17/2012,20.6764,21.7857,20.4253,21.775,1025486912
4/18/2012,21.9185,22.1518,21.5253,21.7264,954530808
4/19/2012,21.4364,21.5975,20.8757,20.98,834714432
4/20/2012,21.1207,21.2364,20.3721,20.4636,1030976260
4/23/2012,20.3789,20.5953,19.8793,20.4178,966518852
4/24/2012,20.0932,20.2746,19.8214,20.01,1076400372
4/25/2012,21.9869,22.0714,21.6428,21.7857,905711752
4/26/2012,21.9382,21.9532,21.5046,21.7035,536065688
4/27/2012,21.6096,21.6493,21.4464,21.5357,406770404
4/30/2012,21.35,21.3714,20.8214,20.8564,506140600
5/1/2012,20.8893,21.3128,20.7582,20.7903,610998688
5/2/2012,20.7228,20.9785,20.6736,20.9278,427624516
5/3/2012,21.0893,21.1214,20.725,20.7793,390548644
5/4/2012,20.61,20.6557,20.1846,20.1875,529990352
5/7/2012,20.0536,20.4561,20.0439,20.3386,460293328
5/8/2012,20.3421,20.4107,19.9546,20.2921,497251376
5/9/2012,20.1321,20.4992,20.0303,20.3278,480704032
5/10/2012,20.5207,20.5671,20.3014,20.3757,333271312
5/11/2012,20.1786,20.5168,20.1553,20.2396,399545752
5/14/2012,20.0918,20.2682,19.9143,19.9364,352624792
5/15/2012,20.0518,20.115,19.7053,19.756,476307356
5/16/2012,19.7875,19.8889,19.3228,19.5027,560896112
5/17/2012,19.4753,19.5536,18.9328,18.9328,717219596
5/18/2012,19.07,19.4075,18.6493,18.9421,732290780
5/21/2012,19.0893,20.055,19.0732,20.0457,631091956
5/22/2012,20.3411,20.4957,19.735,19.8918,694787764
5/23/2012,19.9107,20.4571,19.7582,20.3771,584898184
5/24/2012,20.5668,20.5893,20.0439,20.19,496198576
5/25/2012,20.1639,20.2089,19.9454,20.0818,328466592
5/29/2012,20.3893,20.5,20.1896,20.4382,380505736
